Key,Country,Language,Language_Category,Encounter_Likelihood,Google_Offline,Google_Talk,Continent,Approx. U.S. Citizen Travel,4G_Penetration,5G_Planned,FIPS,COUNTRY2,Flag_URL,Pop_2021
97,Central African Republic,French,Official,1,TRUE,TRUE,Africa,17258,0,No,CT,Central African Republic,Central_African_Republic.png,"4,919,981"
98,Central African Republic,Sango,Minority,5,FALSE,FALSE,Africa,17258,0,No,CT,Central African Republic,Central_African_Republic.png,"4,919,981"
99,Chad,Arabic,Official,1,TRUE,TRUE,Africa,16243,0,No,CD,Chad,Chad.png,"16,914,985"
100,Chad,French,Official,1,TRUE,TRUE,Africa,16243,0,No,CD,Chad,Chad.png,"16,914,985"
101,Chile,Spanish,Official,1,TRUE,TRUE,South America,389729,76.7,Yes,CI,Chile,Chile.png,"19,212,361"
102,China,Mandarin,Official,1,TRUE,FALSE,Asia,545475,76,Yes,CH,China,China.png,"1,444,216,107"
103,China,English (Hong Kong),Regional,4,TRUE,TRUE,Asia,545475,76,Yes,CH,China,China.png,"1,444,216,107"
104,China,Portuguese (Macau),Regional,4,TRUE,TRUE,Asia,545475,76,Yes,CH,China,China.png,"1,444,216,107"
105,China,Mongolian,Minority,5,FALSE,FALSE,Asia,545475,76,Yes,CH,China,China.png,"1,444,216,107"
106,China,Uyghur,Minority,5,FALSE,FALSE,Asia,545475,76,Yes,CH,China,China.png,"1,444,216,107"
107,China,Tibetan,Minority,5,TRUE,TRUE,Asia,545475,76,Yes,CH,China,China.png,"1,444,216,107"
108,China,Zhuang,Minority,5,FALSE,FALSE,Asia,545475,76,Yes,CH,China,China.png,"1,444,216,107"
109,China,Kazakh,Minority,5,FALSE,FALSE,Asia,545475,76,Yes,CH,China,China.png,"1,444,216,107"
110,China,Korean,Minority,5,TRUE,TRUE,Asia,545475,76,Yes,CH,China,China.png,"1,444,216,107"
111,China,Cantonese,Widely-spoken,3,TRUE,FALSE,Asia,545475,76,Yes,CH,China,China.png,"1,444,216,107"
112,Christmas Island,English,Official,1,TRUE,TRUE,Oceania,345142,50,No,KT,Christmas Island,Christmas_Island.png,"1,966"
113,Christmas Island,Mandarin,Official,1,TRUE,FALSE,Oceania,345142,50,No,KT,Christmas Island,Christmas_Island.png,"1,966"
114,Christmas Island,Malay,Official,1,TRUE,FALSE,Oceania,345142,50,No,KT,Christmas Island,Christmas_Island.png,"1,966"
115,Cocos Islands,English,Official,1,TRUE,TRUE,Oceania,191745,50,No,CK,Cocos (Keeling) Islands,Cocos_Islands.png,573
116,Cocos Islands,Cocos Malay,Official,1,TRUE,TRUE,Oceania,191745,50,No,CK,Cocos (Keeling) Islands,Cocos_Islands.png,573
117,Columbia,Spanish,Official,1,TRUE,TRUE,South America,167027,73.3,Yes,CO,Colombia,Columbia.png,"51,265,844"
118,Comoros,Arabic,Official,1,TRUE,TRUE,Africa,15340,50,No,CN,Comoros,Comoros.png,"888,451"
119,Comoros,Comorian,Official,1,TRUE,TRUE,Africa,15340,50,No,CN,Comoros,Comoros.png,"888,451"
120,Comoros,French,Official,1,TRUE,TRUE,Africa,15340,50,No,CN,Comoros,Comoros.png,"888,451"
464,Congo,French,Official,1,TRUE,TRUE,Africa,14533,50,Yes,CF,Congo,DR_Congo.png,"92,377,993"
465,Congo,Lingala,Minority,5,TRUE,TRUE,Africa,14533,50,Yes,CF,Congo,DR_Congo.png,"92,377,993"
466,Congo,Munukutuba,Minority,5,FALSE,FALSE,Africa,14533,50,Yes,CF,Congo,DR_Congo.png,"92,377,993"
121,Cook Islands,English,Official,1,TRUE,TRUE,Oceania,287618,50,No,CW,Cook Islands,Cook_Islands.png,"17,565"
122,Cook Islands,Cook Islands Maori,Official,1,TRUE,TRUE,Oceania,287618,50,No,CW,Cook Islands,Cook_Islands.png,"17,565"
123,Costa Rica,Spanish,Official,1,TRUE,TRUE,North America,1725709,65.8,Yes,CS,Costa Rica,Costa_Rica.png,"5,139,052"
124,Costa Rica,Limonese Creoloe,Minority,5,TRUE,TRUE,North America,1725709,65.8,Yes,CS,Costa Rica,Costa_Rica.png,"5,139,052"
284,Côte d’Ivoire,French,Official,1,TRUE,TRUE,Africa,13806,50,No,IV,Cote d'Ivoire,Cote_d'lvoire.png,"26,378,274"
125,Croatia,Croatian,Official,1,TRUE,TRUE,Europe,453556,83.4,Yes,HR,Croatia,Croatia.png,"4,081,651"
126,Croatia,Serbian,Regional,4,FALSE,TRUE,Europe,453556,83.4,Yes,HR,Croatia,Croatia.png,"4,081,651"
127,Croatia,Hungarian,Regional,4,TRUE,TRUE,Europe,453556,83.4,Yes,HR,Croatia,Croatia.png,"4,081,651"
128,Croatia,Czech,Regional,4,TRUE,TRUE,Europe,453556,83.4,Yes,HR,Croatia,Croatia.png,"4,081,651"
129,Croatia,Slovak,Regional,4,TRUE,TRUE,Europe,453556,83.4,Yes,HR,Croatia,Croatia.png,"4,081,651"
130,Croatia,Pannonian Rusyn,Regional,4,FALSE,FALSE,Europe,453556,83.4,Yes,HR,Croatia,Croatia.png,"4,081,651"
131,Cuba,Spanish,Official,1,TRUE,TRUE,North America,167283,50,No,CU,Cuba,Cuba.png,"11,317,505"
132,Cyprus,Greek,Official,1,TRUE,TRUE,Asia,45447,50,No,CY,Cyprus,Cyprus.png,"1,215,584"
133,Cyprus,Turkish,Official,1,TRUE,TRUE,Asia,45447,50,No,CY,Cyprus,Cyprus.png,"1,215,584"
134,Cyprus,Armenian,National,2,FALSE,TRUE,Asia,45447,50,No,CY,Cyprus,Cyprus.png,"1,215,584"
135,Cyprus,Cypriot Arabic,National,2,TRUE,TRUE,Asia,45447,50,No,CY,Cyprus,Cyprus.png,"1,215,584"
136,Czech Republic,Czech,Official,1,TRUE,TRUE,Asia,45447,73,No,EZ,Czech Republic,Czechia.png,"10,724,555"
137,Czech Republic,Slovak,Official,1,TRUE,TRUE,Asia,45447,73,No,EZ,Czech Republic,Czechia.png,"10,724,555"
138,Czech Republic,Belarusian,Minority,5,TRUE,FALSE,Asia,45447,73,No,EZ,Czech Republic,Czechia.png,"10,724,555"
139,Czech Republic,Bulgarian,Minority,5,TRUE,FALSE,Asia,45447,73,No,EZ,Czech Republic,Czechia.png,"10,724,555"
140,Czech Republic,Croatian,Minority,5,TRUE,TRUE,Asia,45447,73,No,EZ,Czech Republic,Czechia.png,"10,724,555"
141,Czech Republic,German,Minority,5,TRUE,TRUE,Asia,45447,73,No,EZ,Czech Republic,Czechia.png,"10,724,555"
142,Czech Republic,Greek,Minority,5,TRUE,TRUE,Asia,45447,73,No,EZ,Czech Republic,Czechia.png,"10,724,555"
143,Czech Republic,Hungarian,Minority,5,TRUE,TRUE,Asia,45447,73,No,EZ,Czech Republic,Czechia.png,"10,724,555"
144,Czech Republic,Polish,Minority,5,TRUE,TRUE,Asia,45447,73,No,EZ,Czech Republic,Czechia.png,"10,724,555"
145,Czech Republic,Romani,Minority,5,FALSE,FALSE,Asia,45447,73,No,EZ,Czech Republic,Czechia.png,"10,724,555"
146,Czech Republic,Russian,Minority,5,TRUE,TRUE,Asia,45447,73,No,EZ,Czech Republic,Czechia.png,"10,724,555"
147,Czech Republic,Rusyn,Minority,5,TRUE,TRUE,Asia,45447,73,No,EZ,Czech Republic,Czechia.png,"10,724,555"
148,Czech Republic,Serbian,Minority,5,FALSE,TRUE,Asia,45447,73,No,EZ,Czech Republic,Czechia.png,"10,724,555"
149,Czech Republic,Ukrainian,Minority,5,TRUE,FALSE,Asia,45447,73,No,EZ,Czech Republic,Czechia.png,"10,724,555"
150,Czech Republic,Vietnamese,Minority,5,TRUE,TRUE,Asia,45447,73,No,EZ,Czech Republic,Czechia.png,"10,724,555"
394,Democratic People's Republic of Korea,Korean,Official,1,TRUE,TRUE,Asia,0,0,No,KN,"Korea, Democratic People's Republic of",North_Korea.png,"25,887,041"
151,Democratic Republic of the Congo,French,Official,1,TRUE,TRUE,Africa,13149,50,Yes,CG,Democratic Republic of the Congo,DR_Congo.png,"92,377,993"
152,Democratic Republic of the Congo,Lingala,Minority,5,TRUE,TRUE,Africa,13149,50,Yes,CG,Democratic Republic of the Congo,DR_Congo.png,"92,377,993"
153,Democratic Republic of the Congo,Kikongo,Minority,5,FALSE,TRUE,Africa,13149,50,Yes,CG,Democratic Republic of the Congo,DR_Congo.png,"92,377,993"
154,Democratic Republic of the Congo,Swahili,National,2,TRUE,TRUE,Africa,13149,50,Yes,CG,Democratic Republic of the Congo,DR_Congo.png,"92,377,993"
155,Democratic Republic of the Congo,Tshiluba,National,2,TRUE,TRUE,Africa,13149,50,Yes,CG,Democratic Republic of the Congo,DR_Congo.png,"92,377,993"
156,Denmark,Danish,Official,1,TRUE,TRUE,Europe,1360669,88.6,Yes,DA,Denmark,Denmark.png,"5,813,298"
157,Denmark,Faroese,Regional,4,TRUE,FALSE,Europe,1360669,88.6,Yes,DA,Denmark,Denmark.png,"5,813,298"
158,Denmark,Kalaallisut,Regional,4,FALSE,FALSE,Europe,1360669,88.6,Yes,DA,Denmark,Denmark.png,"5,813,298"
159,Denmark,German,Minority,5,TRUE,TRUE,Europe,1360669,88.6,Yes,DA,Denmark,Denmark.png,"5,813,298"
160,Djibouti,Arabic,Official,1,TRUE,TRUE,Africa,12551,50,No,DJ,Djibouti,Djibouti.png,"1,002,187"
161,Djibouti,French,Official,1,TRUE,TRUE,Africa,12551,50,No,DJ,Djibouti,Djibouti.png,"1,002,187"
162,Dominica,English,Official,1,TRUE,TRUE,North America,234196,50,No,DO,Dominica,Dominica.png,"72,167"
163,Dominican Republic,Spanish,Official,1,TRUE,TRUE,North America,2341957,73.6,Yes,DR,Dominican Republic,Dominica.png,"10,953,703"
166,Ecuador,Spanish,Official,1,TRUE,TRUE,South America,146148,57.1,No,EC,Ecuador,Ecuador.png,"17,888,475"
167,Ecuador,Quechua,Official,1,FALSE,FALSE,South America,146148,57.1,No,EC,Ecuador,Ecuador.png,"17,888,475"
168,Ecuador,Kichwa,Minority,5,FALSE,TRUE,South America,146148,57.1,No,EC,Ecuador,Ecuador.png,"17,888,475"
169,Ecuador,Shuar,Minority,5,FALSE,FALSE,South America,146148,57.1,No,EC,Ecuador,Ecuador.png,"17,888,475"
170,Egypt,Arabic,Official,1,TRUE,TRUE,Africa,276127,65.4,Yes,EG,Egypt,Egypt.png,"104,258,327"
171,Egypt,Coptic,Minority,5,TRUE,TRUE,Africa,276127,65.4,Yes,EG,Egypt,Egypt.png,"104,258,327"
172,Egypt,Egyptian Arabic,Widely-spoken,3,TRUE,TRUE,Africa,276127,65.4,Yes,EG,Egypt,Egypt.png,"104,258,327"
173,El Salvador,Spanish,Official,1,TRUE,TRUE,North America,575236,62.8,No,ES,El Salvador,El_Salvador.png,"6,518,499"
174,Equatorial Guinea,French,Official,1,TRUE,TRUE,Africa,12006,50,No,EK,Equatorial Guinea,Equitorial_Guinea.png,"1,449,896"
175,Equatorial Guinea,Portuguese,Official,1,TRUE,TRUE,Africa,12006,50,No,EK,Equatorial Guinea,Equitorial_Guinea.png,"1,449,896"
176,Equatorial Guinea,Spanish,Official,1,TRUE,TRUE,Africa,12006,50,No,EK,Equatorial Guinea,Equitorial_Guinea.png,"1,449,896"
177,Eritrea,Tigrinya,Official,1,TRUE,TRUE,Africa,11505,0,No,ER,Eritrea,Eritrea.png,"3,601,467"
178,Eritrea,Arabic,Widely-spoken,3,TRUE,TRUE,Africa,11505,0,No,ER,Eritrea,Eritrea.png,"3,601,467"
179,Eritrea,Italian,Widely-spoken,3,TRUE,TRUE,Africa,11505,0,No,ER,Eritrea,Eritrea.png,"3,601,467"
180,Estonia,Estonian,Official,1,TRUE,FALSE,Europe,414117,84.21,Yes,EN,Estonia,Estonia.png,"1,325,185"
181,Eswatini,English,Official,1,TRUE,TRUE,Africa,11045,50,No,WZ,Swaziland,Swaziland.png,"1,171,029"
182,Eswatini,Swazi,Official,1,TRUE,TRUE,Africa,11045,50,No,WZ,Swaziland,Swaziland.png,"1,171,029"
183,Ethiopia,Afar,Official,1,FALSE,FALSE,Africa,10620,50,Yes,ET,Ethiopia,Ethiopia.png,"117,876,227"
184,Ethiopia,Amharic,Official,1,FALSE,FALSE,Africa,10620,50,Yes,ET,Ethiopia,Ethiopia.png,"117,876,227"
185,Ethiopia,Oromo,Official,1,FALSE,FALSE,Africa,10620,50,Yes,ET,Ethiopia,Ethiopia.png,"117,876,227"
186,Ethiopia,Somali,Official,1,FALSE,FALSE,Africa,10620,50,Yes,ET,Ethiopia,Ethiopia.png,"117,876,227"
187,Ethiopia,Tigrinya,Official,1,TRUE,TRUE,Africa,10620,50,Yes,ET,Ethiopia,Ethiopia.png,"117,876,227"
